Kosakata,Makna,Mnemonik,Contoh_kalimat
inexorable,Not subject to change; not able to be persuaded,In + exhaust: Tenaganya tidak habis-habis menolak kita (tidak bisa diubah/tak terhentikan).,The inexorable rise of technology is changing the job market completely.
ingenuous,"Innocent, sincere","Genuine: Sangat tulus, lugu, dan polos.",Her ingenuous apology touched everyone's heart.
ingratiating,"Charming, agreeable",Gratitude: Mengambil hati dengan berpura-pura baik (menjilat/mencari muka).,"He flashed an ingratiating smile, hoping the teacher would extend the deadline."
innocuous,Harmless,Innocent: Sesuatu yang polos dan tidak berbahaya.,Most spider bites are completely innocuous and cause no harm.
insensible,Incapable of perceiving or feeling,"In + sense: Tidak punya indera perasa, mati rasa/tidak peka.",The boxer was knocked insensible by the powerful punch.
insinuate,To suggest or hint slyly,In (dalam) + sin (dosa): Menuduh berdosa secara diam-diam (menyindir/mengisyaratkan).,Are you trying to insinuate that I stole the money?
insipid,Bland,"Sip: Sedotan (sip) teh ini rasanya hambar, tidak ada rasanya.",The hospital food was incredibly insipid and tasteless.
insouciant,Free from worry or concern; carefree,"In + social: Tidak peduli norma sosial, sangat santai/tanpa beban.",She walked into the highly stressful interview with an insouciant attitude.
intimation,Something indicated or made known indirectly,Intimate: Memberi kode rahasia pada teman dekat (isyarat/petunjuk halus).,He received no intimation that he was about to be fired.
intrepid,Fearless and bold,In (tidak) + trap: Tidak takut masuk perangkap (sangat berani).,The intrepid explorer ventured deep into the uncharted jungle.
inure,To harden or toughen by use/exposure,"In + your: Sudah biasa di kulitmu (your), jadi terbiasa/kebal (pada hal buruk).",Years of working in the freezing meat locker had inured him to the cold.
invidious,Showing or feeling envy,Envy: Menyebabkan rasa iri/kebencian.,The manager's invidious comparisons caused resentment among the staff.
irascible,Easily angered,Erase: Ingin menghapus (memukul) orang karena mudah marah.,My grandfather is an irascible old man who complains about everything.
ironic,Convey the opposite of an expression’s literal meaning,Ironi: Hal yang berkebalikan dari yang diharapkan.,It is ironic that the fire station burned down.
itinerant,Travelling from place to place,Itinerary: Orang yang jadwal turnya pindah-pindah (nomaden/berkeliling).,The itinerant musician traveled from city to city playing in local bars.
jingoism,Professing patriotism loudly and excessively,Jingle: Menyanyikan jingle negara secara ekstrem (nasionalisme berlebihan).,The politician's speech was full of dangerous jingoism and threats of war.
killjoy,A person who spoils the joy,Kill joy: Perusak suasana/kegembiraan.,Don't be such a killjoy; let them play the music a little longer.
laconic,Brief and to the point; concise,"Lack (kurang): Kurang kata-kata, berbicara singkat/padat.","The cowboy's laconic reply of ""Nope"" told them everything they needed to know."
lampoon,To make fun of; mock,Baboon: Menyindir orang mirip babun (mengejek melalui tulisan/karikatur).,The comedy show is known for its hilarious lampoons of famous politicians.
latent,Dormant,"Laten: Bahaya laten, ada tapi tersembunyi (terpendam/belum aktif).",The virus can remain latent in the body for years before symptoms appear.
laud,To praise,Loud: Memuji dengan suara keras (loud) (memuji).,The mayor lauded the brave firefighters for their quick response.
laudable,Praiseworthy,Laud + able: Patut dipuji.,Her dedication to helping the homeless is truly laudable.
licentious,Unrestrained by laws or rules (sexually),License: Menganggap punya lisensi untuk melanggar aturan moral (amoral/bebas).,The strict religious community condemned his licentious lifestyle.
liken,To represent as similar,Like: Menyamakan seperti (like) sesuatu (membandingkan/menyamakan).,Critics often liken her writing style to that of Jane Austen.
loquacious,Talkative,Lokal: Orang lokal yang suka ngobrol (sangat cerewet).,The loquacious barber kept me entertained with stories during the entire haircut.
lucid,Easily understood; clear,Lucid dream: Mimpi yang sangat jelas dan jernih.,"Despite his fever, the patient remained perfectly lucid and able to answer questions."
lugubrious,"Gloomy, depressing","Lugu + baring: Terbaring karena menangis, sangat muram/menyedihkan.",The cello played a lugubrious melody that made everyone feel sad.
magnanimity,Generosity,Manga (besar): Berhati besar (kedermawanan/kemuliaan hati).,She displayed great magnanimity by forgiving the friend who betrayed her.
malingerer,One who feigns illness to escape duty,Maling: Pura-pura sakit seperti maling yang tertangkap (pura-pura sakit menghindari kerja).,The boss suspects that John is a malingerer who uses all his sick days to play video games.
malleable,Pliant; able to be reshaped,Mal (cetakan): Mudah dimasukkan ke cetakan (mudah dibentuk/diubah).,Gold is a highly malleable metal that can be shaped easily.
masticate,To chew or reduce to a pulp,Masuk + gigi: Mengunyah makanan masuk ke gigi (mengunyah).,You should masticate your food thoroughly before swallowing to aid digestion.
maverick,Rebel; nonconformist,Film Top Gun (Maverick): Pilot yang selalu melanggar aturan (pemberontak/independen).,The young director is a maverick who refuses to follow Hollywood rules.
mealymouthed,"Insincere, deceitful",Mili mulut: Mulutnya komat-kamit tapi bohong (tidak terus terang/berbelit-belit).,"The mealymouthed politician refused to give a straight ""yes"" or ""no"" answer."
mediocrity,Barely adequate,Medium: Kualitas menengah ke bawah (biasa-biasa saja).,"The movie was a masterpiece of mediocrity, completely forgettable."
mendacious,"Untruthful, deceitful",Mend: Memperbaiki (mend) cerita untuk menutupi kebohongan (suka berbohong).,The mendacious tabloid fabricated the entire scandal.
mendicant,A beggar,Mend (memperbaiki): Meminta uang untuk memperbaiki hidup (pengemis).,The barefoot mendicant asked passersby for spare change.
metamorphosis,Change of form,Metamorfosis: Perubahan bentuk/wujud.,The caterpillar's metamorphosis into a butterfly is a miracle of nature.
meticulous,Very thorough and precise,Medis: Dokter bekerja secara medis yang sangat teliti dan hati-hati.,The watchmaker was extremely meticulous in placing the tiny gears.
misanthrope,One who hates people,Miss + antropologi: Benci belajar ilmu manusia karena membenci umat manusia.,The grumpy neighbor is a misanthrope who refuses to speak to anyone.
mitigate,To lessen in intensity,Mitigasi: Meringankan/mengurangi dampak.,Planting trees can help mitigate the effects of climate change.
modicum,A small amount,Modem: Alat kecil yang memberi sinyal (jumlah yang sangat sedikit).,The angry mob didn't show even a modicum of restraint.
mollify,To soothe,Molly (boneka): Memberi boneka untuk menenangkan/meredakan amarah.,The airline offered free vouchers to mollify the angry passengers.
morbidity,Related to illness or disease,Morbid: Tingkat penyakit/kesakitan.,The morbidity rate of the disease drops significantly with early treatment.
mordant,Sarcastic; harsh,More dent: Kata-katanya bikin penyok (dent) mental karena sangat tajam/sarkastis.,The critic's mordant review completely destroyed the actor's confidence.
moribund,Near death or extinction,Mati buntung: Hampir mati/kiamat (sekarat/mendekati kematian).,The moribund company hasn't released a new product in a decade.
morose,Ill-humored; sullen,"No rose: Tidak dikasih mawar saat valentine, jadi murung/cemberut.","After losing his job, he became quiet and morose."
mundane,Ordinary; dull,Monday: Hari Senin yang rutinitasnya membosankan dan biasa-biasa saja.,Paying bills and doing laundry are the mundane tasks of adult life.
myopic,Shortsighted or narrow-minded,Miopi: Rabun jauh; pandangan sempit/picik.,Focusing only on short-term profits is a myopic business strategy.
narcissism,Excessive fascination with oneself,Narsis: Cinta pada diri sendiri berlebihan.,His narcissism made it impossible for him to care about anyone else's feelings.
nefarious,Extremely wicked,Neraka: Jahatnya sampai pantas masuk neraka (sangat jahat/keji).,The villain's nefarious plot was finally stopped by the hero.
negate,To cancel out; nullify,Negatif: Membuat jadi nol (meniadakan/membatalkan).,Drinking alcohol can negate the positive effects of the medication.
neophyte,Beginner,Neo (baru): Pelaku baru (pemula).,"As a neophyte in the kitchen, he struggled just to boil water."
nepotism,Favoritism of family,Nepotisme: Mengistimewakan kerabat/keluarga.,The CEO was accused of nepotism when he hired his inexperienced son as VP.
obdurate,Stubborn,Obstacle: Menjadi penghalang yang keras kepala (bandel/keras kepala).,"Despite our pleas, the obdurate landlord refused to lower the rent."
obfuscate,To darken or conceal,Ob (penghalang) + focus: Menghalangi fokus menjadi buram (membingungkan/mengaburkan).,The lawyer used complex legal jargon to obfuscate the truth.
obsequious,Servile; ready to serve,Obsesi: Terobsesi untuk melayani/menjilat majikan (menjilat/terlalu patuh).,The obsequious waiter kept bowing and overly complimenting the rich guests.
obviate,To make unnecessary,Obvious: Sangat jelas sehingga bantuan tidak lagi diperlukan/bisa dihindari.,The new tunnel will obviate the need for drivers to cross the dangerous mountain pass.
odious,Hateful,Odor: Baunya sangat busuk dan menjijikkan/dibenci.,Slavery is an odious practice that has scarred human history.
officious,Aggressively authoritative in offering help,Office (kantor): Pegawai kantor yang sok sibuk dan suka ikut campur hal sepele.,The officious security guard demanded to check everyone's badges twice.
onus,Burden,On us: Beban ini ada pada kita (on us) (tanggung jawab/beban).,The onus is on the prosecution to prove the defendant's guilt.
opprobrium,Infamy that results from shameful behavior,Oppo (lawan): Mendapat celaan keras dari lawan (rasa malu/kehinaan).,The politician faced public opprobrium after the corruption scandal broke.
oscillate,To waver or switch between positions,Osilasi: Mengayun ke kiri dan kanan (bimbang/berayun).,The fan oscillates to cool the entire room.
ostentation,A display of vanity; showiness,Tenda (tent): Pamer tenda mewah di kemah (pamer/sombong).,The billionaire's golden toilet was a ridiculous display of ostentation.
painstaking,Very careful and diligent,Takes pain: Rela bersusah payah (sangat teliti dan hati-hati).,The restoration of the ancient painting was a painstaking process.
palpable,"Readily seen, heard, or perceived",Palpasi (meraba): Bisa dirasakan/diraba (sangat nyata/terasa).,The tension in the room was so thick it was almost palpable.
panache,A grand or flamboyant manner or style,Panache (bulu topi): Gaya flamboyan yang keren/bergaya.,He wore the bright pink suit with absolute panache.
parable,A short story designed to teach a lesson,Parabola: Memantulkan pesan moral lewat cerita perumpamaan.,The pastor told a parable about a lost sheep to illustrate forgiveness.
paragon,Model of perfection,Polygon: Sepeda polygon itu model kesempurnaan.,She was considered a paragon of virtue in her community.
parsimonious,Stingy,Parsel: Mengirim parsel isinya sedikit karena pelit.,The parsimonious boss refused to buy new chairs for his uncomfortable employees.
partisan,One-sided; committed to one party,Partai: Pendukung kuat sebuah partai (memihak/fanatik).,"The news channel has a highly partisan bias, favoring only one political party."
pathos,Quality that rouses emotion/sympathy,Pathetis (menyedihkan): Menimbulkan rasa iba/simpati.,The actor delivered his final lines with an incredible amount of pathos.
paucity,"Scarcity, insufficiency",Poor city: Kota miskin yang kekurangan/langka sumber daya.,There is a paucity of evidence to support this absurd theory.
pejorative,Disparaging or derogatory effect,Pijar: Menyorot kelemahan orang (merendahkan/menghina).,"He used the word ""amateur"" in a pejorative sense to insult her work."
penchant,Strong inclination,Enchant: Terpesona sehingga punya kecenderungan/kesukaan kuat.,She has a penchant for adopting stray animals.
penurious,Extremely stingy,Penny: Menyimpan setiap uang receh (penny) karena sangat pelit/miskin.,The penurious old man lived in poverty despite having millions in the bank.
perennial,Something long-lasting,Per-annual (tahun): Bertahan bertahun-tahun (abadi/sepanjang tahun).,The lack of funding is a perennial problem for public schools.
perfidy,"Treachery, betrayal",Perforasi: Menusuk dari belakang (pengkhianatan).,The spy was executed for his perfidy against the state.
permeable,Penetrable; porous,Permeabel: Dapat ditembus oleh cairan/gas.,"The fabric is highly permeable, allowing sweat to evaporate quickly."
pernicious,Tending to kill or hurt,Racun (poisonous): Sangat berbahaya/mematikan diam-diam.,The pernicious rumors slowly destroyed her reputation.
pervasive,Spread throughout,Invasi: Menginvasi seluruh wilayah (menyebar luas).,The smell of garlic was pervasive throughout the entire restaurant.
phlegmatic,Slow moving; not easily roused to feeling,Dahak (phlegm): Orang yang menumpuk dahak/lesu (tenang/tidak mudah emosi/lamban).,"Even during the earthquake, the phlegmatic teacher calmly instructed the students."
pious,Religious,Paus (Pope): Mengikuti Paus karena sangat saleh/agamis.,The pious woman went to church every single morning.
placate,To soothe; calm one,Plakat: Memberi plakat penghargaan untuk menenangkan hati.,I tried to placate the crying baby by giving him a pacifier.
placid,Peaceful,Danau: Permukaannya halus/rata (tenang/damai).,The placid lake perfectly mirrored the mountains above.
platitude,Trite or commonplace statement,Flat attitude: Sikap datar saat mendengar perkataan basi/klise.,The speech was full of empty platitudes but offered no real solutions.
plethora,Excess; abundance,Pluto: Jauh di planet Pluto saking berlebih/melimpahnya.,The menu offers a plethora of options for vegetarians.
plumb,To make vertical; reach deepest point,Plumber (tukang ledeng): Mengebor sampai titik paling dalam/tegak lurus.,It is difficult to plumb the depths of the ocean without advanced technology.
polarize,Divide into opposing factions,Kutub (Polar): Membelah masyarakat jadi dua kutub (memecah belah).,The controversial issue continues to polarize the nation.
pompous,Ostentatiously lofty or arrogant,Pompa: Terpompa egonya (sombong/muluk-muluk).,The pompous author loved to talk about his own brilliance.
ponder,To consider thoroughly,Pond (kolam): Menatap kolam sambil merenungkan sesuatu.,She sat by the window to ponder her future career choices.
ponderous,"Massive, awkward, unwieldy",Pond (berat): Sangat berat sehingga lamban dan kaku.,The elephant's ponderous footsteps shook the ground.
pontificate,Express opinion in annoying fashion,Paus (Pontiff): Berbicara sok suci/sok tahu (menggurui dengan congkak).,The amateur critic loves to pontificate about wine despite knowing nothing about it.
porous,"Full of holes; spongy, absorbent",Pori-pori: Penuh pori-pori/lubang (berpori/tembus air).,The porous sponge soaked up all the spilled water instantly.
portend,Foretell,Portal: Membuka portal masa depan untuk meramalkan/menandakan.,"The dark, heavy clouds portend a severe storm."
poseur,Person attempting to impress by assuming manner,"Pose: Berpose pamer, seorang penipu/orang sok.",He's just a poseur who wears expensive rock band t-shirts but doesn't know any of their songs.
pragmatic,Practical,Praktis: Berpikir praktis/masuk akal.,"We need a pragmatic solution, not an idealistic dream that will cost millions."
precarious,"Hazardous, perilous","Pre-care: Sebelum dirawat, kondisinya kritis/berbahaya/tidak stabil.","The ladder was in a precarious position, threatening to fall at any moment."
precipitate,To hasten the occurrence of,Presipitasi (hujan): Mempercepat proses (mempercepat turunnya masalah).,The assassination of the Archduke helped precipitate the First World War.
precocious,Mature beyond one’s age,Pre-cook: Masak sebelum waktunya (dewasa sebelum waktunya).,The precocious five-year-old was already reading chapter books.
preeminent,"Distinguished, renowned",Pre-Eminem: Rap yang jago seperti Eminem (unggul/terkemuka).,She is considered the preeminent expert on ancient Egyptian history.
prescience,Knowledge of events before they happen,Pre-science: Mengetahui sebelum sains membuktikan (kemampuan melihat masa depan).,"With uncanny prescience, he sold all his stocks right before the market crashed."
presentiment,Impression that something is about to happen,Pre-sentiment: Firasat emosi sebelumnya (firasat buruk).,I had a strange presentiment that the flight would be delayed.
prevaricate,Use ambiguous language to deceive,Pre-fabricate: Memutarbalikkan fakta sebelum bicara (berbohong/berkelit).,"When asked where he was last night, the suspect began to prevaricate."
proclivity,Natural inclination,Pro: Secara natural pro ke suatu hal (kecenderungan).,His proclivity for taking risks makes him a great entrepreneur.
prodigal,Wasteful or lavish,Pro-gagal: Gaya hidup boros bikin pro-gagal/bangkrut (boros/menghamburkan).,The prodigal son spent all his inheritance on luxury cars and parties.
prodigious,Immense,Prodigy: Kemampuan anak ajaib (prodigy) yang luar biasa besar/hebat.,The author wrote a prodigious amount of novels during her lifetime.
prodigy,Person having extraordinary talent,Pro: Anak ajaib yang sangat berbakat.,Mozart was a musical prodigy who began composing at age five.
profound,"Deep, significant",Found: Menemukan makna yang sangat dalam/bermakna.,The book had a profound impact on my understanding of philosophy.
prognosticate,To predict future,Prognosis: Prediksi medis (meramalkan/memprediksi).,Economists use various models to prognosticate future inflation rates.
proliferate,To grow rapidly,Pro-life: Mendukung kehidupan sehingga sel berkembang biak pesat.,Fake news tends to proliferate quickly on social media platforms.
propensity,Natural inclination,Prop: Condong bersandar pada properti (kecenderungan/bakat).,He has a propensity to interrupt people when they are speaking.
prophetic,Ability to predict future,Prophet (Nabi): Punya kemampuan nabi (bersifat meramalkan).,Her warning about the housing bubble bursting proved to be prophetic.
propitious,Presenting favorable conditions,Profit: Situasi yang membawa profit/untung (menguntungkan/tepat waktu).,The sunny weather is a propitious sign for our outdoor festival today.
prosaic,Commonplace or dull,"Prosa: Biasa saja seperti teks prosa, bukan puisi indah (membosankan/biasa).","The instructions were written in a prosaic, straightforward style."
protean,Changeable in shape/form,Protein: Bentuknya selalu berubah menyesuaikan (mudah berubah wujud/serbaguna).,"The protean actor can effortlessly play a hero, a villain, or a fool."
prudence,Cautious wisdom,Prudent (Presiden): Kebijaksanaan seorang pemimpin (bijaksana/hati-hati).,You should exercise prudence when sharing personal information online.
puerile,Childish,Pure: Terlalu murni seperti anak kecil (kekanak-kanakan/konyol).,The students were punished for their puerile prank in the cafeteria.
pugnacious,Quarrelsome or combative,Pug: Anjing pug bertinju (suka berkelahi).,The pugnacious boxer was always ready for a street fight.
pungent,Stinging; sharp taste/smell,Pun: Menusuk hidung (bau tajam/menyengat).,The pungent smell of blue cheese filled the kitchen.
pusillanimous,Cowardly; fainthearted,Pussycat: Kucing penakut (pengecut).,The pusillanimous leader refused to stand up to the bullies.
qualms,Misgivings; uneasy fears,Kalem: Tidak bisa kalem karena ragu/firasat tidak enak.,He had no qualms about cheating on the exam to get a better grade.
quibble,Minor objection,Pebble (kerikil): Protes karena kerikil kecil di sepatu (meributkan hal sepele).,We shouldn't quibble over a few dollars when buying a house.
quiescence,Being quiet or still,Quiet: Keadaan yang tenang/diam/tidak aktif.,"During winter, the bears enter a state of quiescence in their caves."
quintessential,Perfect representation,Inti (essential): Esensi yang paling sempurna (contoh paling sempurna/khas).,New York is the quintessential melting pot of cultures.
quixotic,Idealistic; romantic to ridiculous degree,Don Quixote: Karakter yang terlalu idealis dan tidak realistis.,"His quixotic dream of ending all wars is noble, but highly unrealistic."
recant,Withdraw a statement,"Re-cant (cannot): Menyatakan ""saya tidak jadi/cannot"" (mencabut perkataan/sumpah).",The witness was forced to recant his testimony after video evidence proved him wrong.
recidivism,Tendency toward repeated relapse,Residivis: Penjahat kambuhan (pengulangan kejahatan).,The prison program aims to reduce recidivism by teaching inmates job skills.
recondite,Beyond ordinary knowledge; profound,Kondite: Sulit dimengerti (sangat mendalam/tersembunyi).,The mathematics paper was so recondite that even other professors struggled with it.
redress,Set right by compensation/punishment,Re-dress: Mengganti pakaian kotor dengan yang bersih (memperbaiki/ganti rugi).,The victims sought legal redress for the damages caused by the company.
refutation,Act of disproving,Refute: Bantahan.,The scientist published a strong refutation of the flawed study.
refute,To disprove,Refuse: Menolak dengan bukti (membantah).,She used undeniable facts to refute her opponent's argument in the debate.
repose,State of being at rest,Re-pose: Istirahat berpose (istirahat/ketenangan).,Her face in repose looked completely peaceful and free of worry.
reprobate,Sinful and depraved person,Robot rusak: Harus direparasi karena moralnya rusak (orang bejat/bajingan).,The town drunk was considered an unredeemable reprobate.
repudiate,Refuse to have anything to do with,Reputasi: Menolak demi menjaga reputasi (menolak mengakui/mengingkari).,The company publicly repudiated the racist comments made by its former CEO.
rescind,"Repeal, revoke, or void",Re-send: Pesan ditarik (void) untuk dikirim ulang (mencabut/membatalkan).,The university decided to rescind his admission offer after finding out he cheated.
resilience,Ability to recover,Resilien: Daya lenting/ketahanan.,The city showed great resilience by quickly rebuilding after the earthquake.
respite,Interval of rest,Rest-pit: Pit-stop untuk istirahat (jeda/waktu istirahat).,The cool shade provided a brief respite from the scorching sun.
restive,Impatient or stubborn,Rest-less: Tidak bisa istirahat (gelisah/susah diatur).,The crowd became restive after waiting three hours for the concert to start.
reticent,Reluctant or inclined to silence,Reting (diam): Menutup mulut rapat-rapat (pendiam/enggan bicara).,He is generally reticent about his personal life and rarely shares details.
reverent,Respectful,Reverend (Pendeta): Sangat dihormati (penuh rasa hormat).,The visitors maintained a reverent silence inside the holy temple.
rhetoric,Art of effective communication,Retorika: Seni berbicara.,The politician's empty rhetoric failed to convince the angry voters.
rout,To drive out; stampede,Route (rute): Memaksa musuh kabur lewat rute lain (memukul mundur/mengalahkan telak).,"The home team won the game in a complete rout, 10 to 0."
rueful,Causing sorrow or pity,Regretful: Sangat menyesal/menyedihkan.,"She gave a rueful smile, acknowledging her careless mistake."
ruminate,"To think over, ponder",Ruang (room): Menyendiri di ruang untuk berpikir (merenungkan secara mendalam).,He needed a few days to ruminate on the job offer before making a decision.
sagacious,Wise,Sage (Orang bijak): Sangat bijaksana/cerdas.,The sagacious elder was often consulted for advice by the village leaders.
salacious,Lustful; sexually indecent,Saliva: Bikin ngiler karena hal mesum (cabul/mesum).,The tabloids love to publish salacious gossip about celebrities.
salubrious,Healthful,Salad: Makan salad itu menyehatkan/bermanfaat bagi kesehatan.,"The doctor recommended a salubrious climate, like the seaside, for her recovery."
sanction,Approve; or enact penalty,Sanksi: Bisa berarti persetujuan (resmi) atau hukuman (sanksi).,The UN decided to sanction the country for its aggressive military actions.
sanguine,Cheerfully confident; optimistic,Penguin: Penguin yang selalu riang gembira (sangat optimis/merah merona).,"Despite the setbacks, the coach remained sanguine about the team's chances of winning."
satiate,To satisfy appetite/desire,Sate: Makan sate 50 tusuk membuat sangat kenyang/puas.,He drank a liter of water to satiate his intense thirst.
savor,Enjoy fully,Flavor: Menikmati rasa (flavor) makanan secara utuh (menikmati sepenuhnya).,She ate the expensive chocolate slowly to savor every single bite.
scanty,Scarce in quantity,Sekan (sedikit): Celana dalam (panties) yang kekecilan (terbatas/sedikit sekali).,The scanty evidence was not enough to convict the suspect in court.
secrete,To hide away,Secret: Menyimpan sebagai rahasia/menyembunyikan.,The squirrel secreted its nuts in a hollow tree for the winter.
security,Safety,Sekuriti: Keamanan/keselamatan.,Airport security was heightened after the threat was received.
sedulous,Persistent in effort,Schedule: Selalu menaati jadwal dengan rajin (tekun/rajin).,The sedulous researcher spent ten years developing the new vaccine.
seethe,To be in a state of agitation,Mendidih (Teeth): Menggemeretakkan gigi karena mendidih oleh amarah.,He was seething with anger when he discovered his car had been scratched.
seminal,Influencing future developments,Seminar: Ide dari seminar ini akan berpengaruh besar di masa depan.,Newton's seminal work on gravity changed physics forever.
shard,Fragment,Hard: Kaca yang keras pecah menjadi pecahan beling/fragmen.,A sharp shard of glass pierced his shoe.
shirk,To avoid,Shark (hiu): Menghindar dari hiu (menghindar dari tanggung jawab).,It is cowardly to shirk your responsibilities when things get tough.
shoddy,Not genuine; inferior,Sandal jepit (shod): Pekerjaan ala kadarnya (berkualitas buruk/murahan).,The shoddy craftsmanship caused the table to break within a week.
sinuous,Curving in and out,Sinus (grafik): Grafik sinus bergelombang (berkelok-kelok/liuk).,The sinuous mountain road is dangerous to drive at night.
skeptic,Doubter,Skeptis: Orang yang ragu-ragu.,"As a natural skeptic, he demanded scientific proof for the ghost sightings."
skepticism,Doubt or disbelief,Skeptisisme: Keraguan.,I view his claims of getting rich quick with healthy skepticism.
skittish,Lively; restless,Kitty (anak kucing): Seperti anak kucing yang mudah kaget (gelisah/mudah kaget).,The skittish horse easily got scared by sudden loud noises.
slander,Defamation,Slender (kurus): Difitnah kurus karena hal buruk (fitnah/pencemaran nama baik).,She sued the magazine for slander after they published lies about her.
slothful,"Slow-moving, lazy",Sloth (kungkang): Hewan kukang yang sangat malas dan lamban.,The slothful teenager stayed in bed until 3 PM on weekends.
solecism,Minor mistake in grammar or manners,Selesai: Kata-katanya belum selesai (salah) tata bahasanya (kesalahan tata bahasa/etika).,Wearing white socks with a black tuxedo is considered a fashion solecism.
solicitous,Worried or concerned; eager,Solo: Bertanya ke penyanyi solo dengan penuh perhatian/kecemasan.,The solicitous nurse checked on the recovering patient every hour.
sonorous,"Loud, deep, or resonant",Sound: Suaranya menggelegar/bergema.,"James Earl Jones is famous for his deep, sonorous voice."
soporific,Causing sleep,Sofa: Duduk di sofa yang empuk bikin mengantuk/menyebabkan tidur.,"The heavy meal had a soporific effect, making everyone want to nap."
spate,"Sudden, overwhelming outpouring",Spit: Menyemburkan banyak kata/air sekaligus (banjir/rentetan kejadian).,The city has experienced a spate of car thefts in recent weeks.
specious,Seemingly reasonable but incorrect,"Species: Kelihatannya spesies sama, tapi salah (kelihatannya benar tapi salah).",The diet plan is based on a specious argument that completely ignores biology.
spendthrift,Someone who wastes money,Spend: Orang yang suka membelanjakan (spend) uang (boros).,The spendthrift heir went completely broke within five years of inheriting the fortune.
spurious,Not genuine,Spur (palsu): Barang palsu (tidak asli/palsu).,"The painting was proved to be a spurious copy, not an original Picasso."
stentorian,Extremely loud,Tenda (tent): Suara yang merobek tenda karena sangat keras/menggelegar.,The principal's stentorian voice commanded immediate silence in the auditorium.
stigma,Token of disgrace,Stigma: Noda/cap buruk.,There is still a stigma attached to seeking help for mental health issues.
stint,Period of time (noun); to be thrifty (verb),Tint: Memakai tinta sedikit saja (menghemat / periode tugas).,"After a brief stint as a waiter, he found a job in finance."
stipulate,Make specific conditions,Tipe: Menentukan tipe syarat tertentu (menentukan syarat).,The contract stipulates that the rent must be paid on the first of every month.
stoic,Lacking emotional response,Batu (stone): Berwajah batu saat menderita (tabah/tanpa emosi).,The soldier maintained a stoic expression while his wound was being stitched.
stolid,Dull; impassive,Solid: Kaku seperti benda padat (kaku/tidak mudah goyah emosinya).,His stolid demeanor made it impossible to tell if he was happy or sad.
stratify,Form or place in layers,Strata: Membagi dalam kelas/strata (berlapis-lapis).,Sociologists often stratify society by income levels.
striated,Marked with parallel bands,Strip: Ada garis-garis bergaris (bergaris-garis/lurik).,The canyon walls are beautifully striated with different colors of rock.
strut,A pompous walk,Street: Berjalan sombong di jalanan (street) (berjalan dengan angkuh).,"The peacock strutted around the garden, showing off its colorful feathers."
sublime,Supreme or outstanding; elevated,Sub-lime: Luar biasa indahnya (agung/mulia).,The orchestra's performance of Beethoven's Ninth Symphony was absolutely sublime.
subterfuge,Evasion,Sub-tube: Lari lewat lorong bawah tanah (akal bulus/tipu daya untuk sembunyi).,The spies used subterfuge to smuggle the documents out of the country.
supercilious,Showing careless contempt; arrogant,Super konyol: Menganggap orang lain konyol karena dia sangat sombong/merendahkan.,The supercilious clerk rolled her eyes when I asked for a discount.
superfluous,More than what’s needed,Super flow: Air yang mengalir (flow) luber-luber (berlebihan/tidak perlu).,The extra decorations on the cake were pretty but entirely superfluous.
supersede,To replace or supplant,Super seat: Mengambil kursi utama (menggantikan/menggeser).,The new smartphone will supersede the older model next month.
supine,Lying on one’s back face upward,Spine (tulang belakang): Tidur di atas tulang belakang (terlentang/pasif).,"He lay supine on the beach towel, staring up at the clouds."
sybarite,Person devoted to luxury and pleasure,Bar: Menghabiskan waktu di bar (pemuja kemewahan/hedonis).,The wealthy sybarite spent his days lounging by the pool drinking champagne.
sycophant,"Self-seeking, servile flatterer",Psycho fan: Penggemar gila yang suka menjilat (penjilat).,The sycophant agreed with every terrible idea the boss suggested just to get promoted.
tacit,Understood,Tas: Mengambil tas berarti bersiap pergi tanpa bicara (dipahami tanpa kata/tersirat).,They had a tacit understanding that they would split the profits equally.
taciturn,Stern; silent,Turn (berpaling): Berpaling diam (pendiam/irit bicara).,The taciturn old farmer preferred the company of his animals to people.
tangential,Only slightly connected or related,Tangen: Cuma menyinggung garis luar (hanya sedikit berkaitan/menyinggung).,His long story was only tangentially related to the main topic of the meeting.
tantamount,Equivalent in significance,Tenda mountain: Tingginya sama dengan gunung (sama dengan/setara).,Leaving the scene of the accident was tantamount to admitting guilt.
tawdry,"Showy, in a cheap way",Laundry: Baju murahan yang luntur di laundry (mencolok tapi murahan).,"She wore a tawdry costume covered in cheap, fake diamonds."
temerity,Recklessness,"Timer: Tidak peduli timer bom, sangat nekat/gegabah.",I can't believe he had the temerity to ask for my car keys after crashing his own.
tempestuous,Stormy; impassioned,Tempest (badai): Emosi yang bergejolak seperti badai.,Their tempestuous relationship was filled with screaming matches and passionate makeups.
tenacious,Holding fast,Ten nails: Mencengkeram kuat dengan sepuluh kuku (gigih/bersikeras).,The tenacious detective refused to give up on the cold case.
tendentious,Having a definite tendency or bias,Tendensi: Memiliki tendensi atau bias/berpihak.,The tendentious documentary clearly pushed a political agenda while ignoring contrary facts.
tenuous,Thin; slim,Ten (sepuluh): Benang ukuran sepuluh sangat tipis/lemah.,The connection between the two crimes is tenuous at best.
tepid,Lukewarm,Teh: Teh yang sudah didiamkan lama jadi suam-suam kuku/kurang antusias.,The movie received only a tepid response from the critics.
