Kosakata,Makna,Mnemonik
precarious,"Hazardous, perilous","Pre-care: Sebelum dirawat, kondisinya kritis/berbahaya/tidak stabil."
precipitate,To hasten the occurrence of,Presipitasi (hujan): Mempercepat proses (mempercepat turunnya masalah).
precocious,Mature beyond one’s age,Pre-cook: Masak sebelum waktunya (dewasa sebelum waktunya).
preeminent,"Distinguished, renowned",Pre-Eminem: Rap yang jago seperti Eminem (unggul/terkemuka).
prescience,Knowledge of events before they happen,Pre-science: Mengetahui sebelum sains membuktikan (kemampuan melihat masa depan).
presentiment,Impression that something is about to happen,Pre-sentiment: Firasat emosi sebelumnya (firasat buruk).
prevaricate,Use ambiguous language to deceive,Pre-fabricate: Memutarbalikkan fakta sebelum bicara (berbohong/berkelit).
proclivity,Natural inclination,Pro: Secara natural pro ke suatu hal (kecenderungan).
prodigal,Wasteful or lavish,Pro-gagal: Gaya hidup boros bikin pro-gagal/bangkrut (boros/menghamburkan).
prodigious,Immense,Prodigy: Kemampuan anak ajaib (prodigy) yang luar biasa besar/hebat.
prodigy,Person having extraordinary talent,Pro: Anak ajaib yang sangat berbakat.
profound,"Deep, significant",Found: Menemukan makna yang sangat dalam/bermakna.
prognosticate,To predict future,Prognosis: Prediksi medis (meramalkan/memprediksi).
proliferate,To grow rapidly,Pro-life: Mendukung kehidupan sehingga sel berkembang biak pesat.
propensity,Natural inclination,Prop: Condong bersandar pada properti (kecenderungan/bakat).
prophetic,Ability to predict future,Prophet (Nabi): Punya kemampuan nabi (bersifat meramalkan).
propitious,Presenting favorable conditions,Profit: Situasi yang membawa profit/untung (menguntungkan/tepat waktu).
prosaic,Commonplace or dull,"Prosa: Biasa saja seperti teks prosa, bukan puisi indah (membosankan/biasa)."
protean,Changeable in shape/form,Protein: Bentuknya selalu berubah menyesuaikan (mudah berubah wujud/serbaguna).
prudence,Cautious wisdom,Prudent (Presiden): Kebijaksanaan seorang pemimpin (bijaksana/hati-hati).
puerile,Childish,Pure: Terlalu murni seperti anak kecil (kekanak-kanakan/konyol).
pugnacious,Quarrelsome or combative,Pug: Anjing pug bertinju (suka berkelahi).
pungent,Stinging; sharp taste/smell,Pun: Menusuk hidung (bau tajam/menyengat).
pusillanimous,Cowardly; fainthearted,Pussycat: Kucing penakut (pengecut).
qualms,Misgivings; uneasy fears,Kalem: Tidak bisa kalem karena ragu/firasat tidak enak.
quibble,Minor objection,Pebble (kerikil): Protes karena kerikil kecil di sepatu (meributkan hal sepele).
quiescence,Being quiet or still,Quiet: Keadaan yang tenang/diam/tidak aktif.
quintessential,Perfect representation,Inti (essential): Esensi yang paling sempurna (contoh paling sempurna/khas).
quixotic,Idealistic; romantic to ridiculous degree,Don Quixote: Karakter yang terlalu idealis dan tidak realistis.
recant,Withdraw a statement,"Re-cant (cannot): Menyatakan ""saya tidak jadi/cannot"" (mencabut perkataan/sumpah)."
recidivism,Tendency toward repeated relapse,Residivis: Penjahat kambuhan (pengulangan kejahatan).
recondite,Beyond ordinary knowledge; profound,Kondite: Sulit dimengerti (sangat mendalam/tersembunyi).
redress,Set right by compensation/punishment,Re-dress: Mengganti pakaian kotor dengan yang bersih (memperbaiki/ganti rugi).
refutation,Act of disproving,Refute: Bantahan.
refute,To disprove,Refuse: Menolak dengan bukti (membantah).
repose,State of being at rest,Re-pose: Istirahat berpose (istirahat/ketenangan).
reprobate,Sinful and depraved person,Robot rusak: Harus direparasi karena moralnya rusak (orang bejat/bajingan).
repudiate,Refuse to have anything to do with,Reputasi: Menolak demi menjaga reputasi (menolak mengakui/mengingkari).
rescind,"Repeal, revoke, or void",Re-send: Pesan ditarik (void) untuk dikirim ulang (mencabut/membatalkan).
resilience,Ability to recover,Resilien: Daya lenting/ketahanan.
respite,Interval of rest,Rest-pit: Pit-stop untuk istirahat (jeda/waktu istirahat).
restive,Impatient or stubborn,Rest-less: Tidak bisa istirahat (gelisah/susah diatur).
reticent,Reluctant or inclined to silence,Reting (diam): Menutup mulut rapat-rapat (pendiam/enggan bicara).
reverent,Respectful,Reverend (Pendeta): Sangat dihormati (penuh rasa hormat).
rhetoric,Art of effective communication,Retorika: Seni berbicara.
rout,To drive out; stampede,Route (rute): Memaksa musuh kabur lewat rute lain (memukul mundur/mengalahkan telak).
rueful,Causing sorrow or pity,Regretful: Sangat menyesal/menyedihkan.
ruminate,"To think over, ponder",Ruang (room): Menyendiri di ruang untuk berpikir (merenungkan secara mendalam).
sagacious,Wise,Sage (Orang bijak): Sangat bijaksana/cerdas.
salacious,Lustful; sexually indecent,Saliva: Bikin ngiler karena hal mesum (cabul/mesum).
salubrious,Healthful,Salad: Makan salad itu menyehatkan/bermanfaat bagi kesehatan.
sanction,Approve; or enact penalty,Sanksi: Bisa berarti persetujuan (resmi) atau hukuman (sanksi).
sanguine,Cheerfully confident; optimistic,Penguin: Penguin yang selalu riang gembira (sangat optimis/merah merona).
satiate,To satisfy appetite/desire,Sate: Makan sate 50 tusuk membuat sangat kenyang/puas.
savor,Enjoy fully,Flavor: Menikmati rasa (flavor) makanan secara utuh (menikmati sepenuhnya).
scanty,Scarce in quantity,Sekan (sedikit): Celana dalam (panties) yang kekecilan (terbatas/sedikit sekali).
secrete,To hide away,Secret: Menyimpan sebagai rahasia/menyembunyikan.
security,Safety,Sekuriti: Keamanan/keselamatan.
sedulous,Persistent in effort,Schedule: Selalu menaati jadwal dengan rajin (tekun/rajin).
seethe,To be in a state of agitation,Mendidih (Teeth): Menggemeretakkan gigi karena mendidih oleh amarah.
seminal,Influencing future developments,Seminar: Ide dari seminar ini akan berpengaruh besar di masa depan.
shard,Fragment,Hard: Kaca yang keras pecah menjadi pecahan beling/fragmen.
shirk,To avoid,Shark (hiu): Menghindar dari hiu (menghindar dari tanggung jawab).
shoddy,Not genuine; inferior,Sandal jepit (shod): Pekerjaan ala kadarnya (berkualitas buruk/murahan).
sinuous,Curving in and out,Sinus (grafik): Grafik sinus bergelombang (berkelok-kelok/liuk).
skeptic,Doubter,Skeptis: Orang yang ragu-ragu.
skepticism,Doubt or disbelief,Skeptisisme: Keraguan.
skittish,Lively; restless,Kitty (anak kucing): Seperti anak kucing yang mudah kaget (gelisah/mudah kaget).
slander,Defamation,Slender (kurus): Difitnah kurus karena hal buruk (fitnah/pencemaran nama baik).
slothful,"Slow-moving, lazy",Sloth (kungkang): Hewan kukang yang sangat malas dan lamban.
solecism,Minor mistake in grammar or manners,Selesai: Kata-katanya belum selesai (salah) tata bahasanya (kesalahan tata bahasa/etika).
solicitous,Worried or concerned; eager,Solo: Bertanya ke penyanyi solo dengan penuh perhatian/kecemasan.
sonorous,"Loud, deep, or resonant",Sound: Suaranya menggelegar/bergema.
soporific,Causing sleep,Sofa: Duduk di sofa yang empuk bikin mengantuk/menyebabkan tidur.
spate,"Sudden, overwhelming outpouring",Spit: Menyemburkan banyak kata/air sekaligus (banjir/rentetan kejadian).
specious,Seemingly reasonable but incorrect,"Species: Kelihatannya spesies sama, tapi salah (kelihatannya benar tapi salah)."
spendthrift,Someone who wastes money,Spend: Orang yang suka membelanjakan (spend) uang (boros).
spurious,Not genuine,Spur (palsu): Barang palsu (tidak asli/palsu).
stentorian,Extremely loud,Tenda (tent): Suara yang merobek tenda karena sangat keras/menggelegar.
stigma,Token of disgrace,Stigma: Noda/cap buruk.
stint,Period of time (noun); to be thrifty (verb),Tint: Memakai tinta sedikit saja (menghemat / periode tugas).
stipulate,Make specific conditions,Tipe: Menentukan tipe syarat tertentu (menentukan syarat).
stoic,Lacking emotional response,Batu (stone): Berwajah batu saat menderita (tabah/tanpa emosi).
stolid,Dull; impassive,Solid: Kaku seperti benda padat (kaku/tidak mudah goyah emosinya).
stratify,Form or place in layers,Strata: Membagi dalam kelas/strata (berlapis-lapis).
striated,Marked with parallel bands,Strip: Ada garis-garis bergaris (bergaris-garis/lurik).
strut,A pompous walk,Street: Berjalan sombong di jalanan (street) (berjalan dengan angkuh).
sublime,Supreme or outstanding; elevated,Sub-lime: Luar biasa indahnya (agung/mulia).
subterfuge,Evasion,Sub-tube: Lari lewat lorong bawah tanah (akal bulus/tipu daya untuk sembunyi).
supercilious,Showing careless contempt; arrogant,Super konyol: Menganggap orang lain konyol karena dia sangat sombong/merendahkan.
superfluous,More than what’s needed,Super flow: Air yang mengalir (flow) luber-luber (berlebihan/tidak perlu).
supersede,To replace or supplant,Super seat: Mengambil kursi utama (menggantikan/menggeser).
supine,Lying on one’s back face upward,Spine (tulang belakang): Tidur di atas tulang belakang (terlentang/pasif).
sybarite,Person devoted to luxury and pleasure,Bar: Menghabiskan waktu di bar (pemuja kemewahan/hedonis).
sycophant,"Self-seeking, servile flatterer",Psycho fan: Penggemar gila yang suka menjilat (penjilat).
tacit,Understood,Tas: Mengambil tas berarti bersiap pergi tanpa bicara (dipahami tanpa kata/tersirat).
taciturn,Stern; silent,Turn (berpaling): Berpaling diam (pendiam/irit bicara).
tangential,Only slightly connected or related,Tangen: Cuma menyinggung garis luar (hanya sedikit berkaitan/menyinggung).
tantamount,Equivalent in significance,Tenda mountain: Tingginya sama dengan gunung (sama dengan/setara).
tawdry,"Showy, in a cheap way",Laundry: Baju murahan yang luntur di laundry (mencolok tapi murahan).
temerity,Recklessness,"Timer: Tidak peduli timer bom, sangat nekat/gegabah."
tempestuous,Stormy; impassioned,Tempest (badai): Emosi yang bergejolak seperti badai.
tenacious,Holding fast,Ten nails: Mencengkeram kuat dengan sepuluh kuku (gigih/bersikeras).
tendentious,Having a definite tendency or bias,Tendensi: Memiliki tendensi atau bias/berpihak.
tenuous,Thin; slim,Ten (sepuluh): Benang ukuran sepuluh sangat tipis/lemah.
tepid,Lukewarm,Teh: Teh yang sudah didiamkan lama jadi suam-suam kuku/kurang antusias.
thrall,State of being enslaved,Trawl (jaring): Tertangkap di jaring (diperbudak/ditawan).
thwart,To frustrate,War (perang): Menggagalkan perang (menghalangi/menggagalkan).
tilt,"To lean forward, as if to attack",Tilt: Miring/condong.
timidity,Lacking in self-assurance,Timid: Sifat rasa malu/penakut.
tirade,"Long, passionate speech against something",Tired (lelah): Membuat telinga lelah karena omelan panjang.
titillate,To excite or arouse,Tickle (menggelitik): Menggelitik untuk membangkitkan gairah/menggairahkan.
titular,Holding a position in name only,Title (gelar): Cuma punya gelar tapi tak ada kuasa (pemimpin nominal/formalitas).
torpid,Dull; sluggish; inactive,Torpedo: Torpedo yang gagal meluncur karena lamban/mati rasa.
tortuous,Abounding in irregular bends,Torture (siksaan): Jalannya berliku-liku bikin tersiksa (berbelit-belit/penuh liku).
tractable,Docile; easily controlled,Traktor: Mudah disetir seperti traktor (patuh/mudah diatur).
transgression,Violation; sin,Trans (lewat) + garis: Melewati batas (pelanggaran/dosa).
transience,Temporary state,Transit: Cuma mampir sebentar (sementara/fana).
transmute,To change,Mutasi: Mengubah bentuk/sifat.
transparent,Easily detected,Transparan: Tembus pandang/jelas.
transpire,"To happen, to be revealed",Inspirasi turun: Terjadi dan terungkap (terjadi/bocor rahasianya).
trepidation,Nervous feeling; fear,Trap (perangkap): Takut masuk perangkap (ketakutan/kegelisahan).
truculence,Ferocity,Truk: Tabrakan truk yang sangat garang (keganasan).
truculent,"Harsh, brutal",Truk: Sopir truk yang brutal/kasar dan suka melawan.
turgid,"Inflated, pompous; swollen",Target: Bicaranya membesar-besarkan target (bengkak/muluk-muluk).
tutelage,Act of training,Tutor: Berada di bawah asuhan tutor (bimbingan/pengawasan).
tyro,"Beginner, novice",Try: Orang yang baru mencoba (pemula).
ubiquitous,Present everywhere,Ubi: Tukang ubi goreng ada di mana-mana (ada di mana-mana).
umbrage,Sense of having been injured,Umbrella: Tersinggung karena tak diberi payung saat hujan (rasa tersinggung).
unassuaged,Not soothed or relieved,Un (tidak) + assoy: Perasaannya tidak assoy/belum lega (belum reda/belum terpuaskan).
uncouth,Clumsy; rude,"Un-cute: Sikapnya tidak imut sama sekali, sangat kasar/kampungan."
undermine,To weaken or derail,Under + mine: Menggali ranjau di bawah fondasi (melemahkan diam-diam).
unerringly,Without fail,Un-error: Tanpa error (tanpa salah/tepat sasaran).
ungainly,Awkward; clumsy,Un-gain: Sulit mendapat keuntungan karena gerakannya canggung/kikuk.
unison,Complete accord,Soni (suara): Suara yang sama bulat (serempak/kesepakatan).
unruly,Disobedient,Un-rule: Tidak mematuhi aturan (bandel/sulit diatur).
untenable,Indefensible,Un-tent: Tenda yang tak bisa menahan badai (tidak dapat dipertahankan/alasan lemah).
upbraid,To reproach as deserving blame,Up + braid: Menarik kepang rambutnya ke atas sambil memarahinya (memarahi keras/mencela).
urbanity,Refined courtesy or politeness,Urban (kota): Bersikap sopan santun ala orang kota besar (kesopanan/kehalusan budi).
vacillate,To waver; to fluctuate,Fosil: Bergetar bimbang apakah ini fosil atau bukan (bimbang/ragu-ragu).
vagabond,Wanderer,Vagabond: Pengembara/gelandangan.
vainglorious,Excessive; pretentious,Vain (sia-sia) + glory: Membanggakan kejayaan yang sia-sia (sangat sombong/angkuh).
valorous,Courageous,Valor (berani): Pahlawan yang gagah berani.
vantage,Position giving advantage,Advantage: Posisi yang memberi keuntungan strategis.
vapid,Having lost quality and flavor; dull,Vapor (uap): Rasanya menguap hilang (hambar/membosankan).
variegated,Many-colored,Variasi: Beragam warnanya (beraneka ragam/belang-belang).
vehement,Forceful,Helm: Melempar helm dengan kuat karena marah (penuh semangat/keras/hebat).
veneer,Thin covering to improve appearance,Veneer (gigi): Lapisan tipis di gigi agar bagus (lapisan penutup luar/kedok).
venerate,To look upon with deep respect,Veteran: Menghormati veteran perang (sangat menghormati/memuja).
veracious,Truthful,Verify: Sesuatu yang bisa diverifikasi itu jujur/benar.
verbiage,Use of many words,Verb: Terlalu banyak kata kerja/bertele-tele (berlebihan kata).
verbose,Wordy,Verbal boss: Bos yang ngomongnya panjang lebar (bertele-tele/banyak omong).
vestigial,Occurring as a rudimentary structure,Vest (baju sisa): Sisa-sisa evolusi organ (sisa/meninggalkan jejak evolusi).
viable,Capable of living or succeeding,Via: Bisa lewat jalan (via) ini (bisa hidup/dapat dilaksanakan).
vicissitude,Change of condition or circumstances,Visi: Visi hidup yang terus berubah (perubahan nasib/pasang surut).
vigor,Strength; stamina; power,Figur: Punya figur tubuh yang kuat (stamina/semangat/tenaga).
virtuosity,Character or ability of an expert,Virtuoso: Keahlian tingkat dewa dalam seni (keahlian teknis tingkat tinggi).
virulence,Intense sharpness of anger; intensity,Virus: Jahat dan menyebar seperti virus (keganasan/kebencian hebat).
visage,"Face, especially features/expression",Vision: Wajah yang masuk dalam penglihatan (wajah/paras/raut muka).
viscous,Sticky; gluey,Viskositas: Sifat cairan kental (kental/lengket).
vituperate,Overwhelm with wordy abuse,Pit viper: Mulut berbisa bagai ular viper (mencaci maki dengan kasar).
vociferous,Making a loud outcry,Voice: Suara berisik dan lantang (berisik/bersuara keras menuntut).
volatile,Changeable; explosive,Volatil: Mudah menguap/meledak (mudah berubah/meledak-ledak).
volition,Willful choice or decision,Volunteer: Melakukan dengan kehendak sendiri (kemauan/pilihan sadar).
voluble,Fluent; talkative,Volume: Volume suaranya diputar terus (fasih/banyak bicara).
warranted,Justified,Surat perintah (warrant): Memiliki dasar surat yang benar (dibenarkan/dijamin).
wary,Very cautious,Awas (beware): Sangat waspada/berhati-hati.
welter,Turmoil (noun); to roll/toss (verb),Water: Tergulung ombak air besar (kekacauan/bergulingan).
whet,To sharpen or stimulate,Wet (basah): Membasahi batu asahan untuk menajamkan pisau (mengasah/merangsang).
whimsical,Fanciful,Whim: Berdasar iseng belaka (lucu/aneh/banyak tingkah).
whorl,Circular or spiral arrangement,Whirl (berputar): Putaran badai (susunan melingkar/spiral).
winsome,Attractive; charming,Win some (hati): Memenangkan hati banyak orang (sangat menarik/menawan).
wreak,Inflict,Wreck (hancur): Menyebabkan kehancuran (menimpakan hukuman/bencana).
writhe,Twist,Ring: Berputar melilit seperti cincin (menggeliat kesakitan).
yore,Time past,Years: Tahun-tahun yang lama berlalu (zaman dahulu).
zealot,Fanatic,Zeal (semangat): Orang yang terlalu semangat (orang yang sangat fanatik).
zeitgeist,Intellectual and moral tendencies of age,Time (zeit) + ghost (geist): Roh/semangat zaman (semangat sebuah zaman/tren era).
